,Sentence #,Word,POS,Tag
0,Sentence: 5218,Also,RB,O
1,Sentence: 5218,",",",",O
2,Sentence: 5218,performance,NN,O
3,Sentence: 5218,is,VBZ,O
4,Sentence: 5218,better,RBR,O
5,Sentence: 5218,in,IN,O
6,Sentence: 5218,IndBAN,NNP,B
7,Sentence: 5218,and,CC,I
8,Sentence: 5218,IndDEV,NNP,I
9,Sentence: 5218,dataset,NN,I
10,Sentence: 5218,than,IN,O
11,Sentence: 5218,other,JJ,O
12,Sentence: 5218,two,CD,O
13,Sentence: 5218,datasets,NNS,O
14,Sentence: 5218,inspite,RB,O
15,Sentence: 5218,of,IN,O
16,Sentence: 5218,our,PRP$,O
17,Sentence: 5218,claim,NN,O
18,Sentence: 5218,of,IN,O
19,Sentence: 5218,having,VBG,O
20,Sentence: 5218,more,JJR,O
21,Sentence: 5218,complexity,NN,O
22,Sentence: 5218,in,IN,O
23,Sentence: 5218,Bangla,NNP,O
24,Sentence: 5218,and,CC,O
25,Sentence: 5218,Devanagari,NNP,O
26,Sentence: 5218,script,NN,O
27,Sentence: 5218,.,.,O
0,Sentence: 5418,The,DT,O
1,Sentence: 5418,MegaFace,NNP,B
2,Sentence: 5418,dataset,NN,I
3,Sentence: 5418,is,VBZ,O
4,Sentence: 5418,divided,VBN,O
5,Sentence: 5418,into,IN,O
6,Sentence: 5418,two,CD,O
7,Sentence: 5418,subsets,NNS,O
8,Sentence: 5418,:,:,O
9,Sentence: 5418,(,(,O
10,Sentence: 5418,1,CD,O
11,Sentence: 5418,),),O
12,Sentence: 5418,the,DT,O
13,Sentence: 5418,gallery,NN,O
14,Sentence: 5418,set,NN,O
15,Sentence: 5418,containing,VBG,O
16,Sentence: 5418,more,JJR,O
17,Sentence: 5418,than,IN,O
18,Sentence: 5418,1,CD,O
19,Sentence: 5418,million,CD,O
20,Sentence: 5418,images,NNS,O
21,Sentence: 5418,from,IN,O
22,Sentence: 5418,690,CD,O
23,Sentence: 5418,K,NNP,O
24,Sentence: 5418,identities,NNS,O
25,Sentence: 5418,",",",",O
26,Sentence: 5418,and,CC,O
27,Sentence: 5418,(,(,O
28,Sentence: 5418,2,CD,O
29,Sentence: 5418,),),O
30,Sentence: 5418,the,DT,O
31,Sentence: 5418,probe,NN,O
32,Sentence: 5418,set,NN,O
33,Sentence: 5418,which,WDT,O
34,Sentence: 5418,is,VBZ,O
35,Sentence: 5418,composed,VBN,O
36,Sentence: 5418,of,IN,O
37,Sentence: 5418,two,CD,O
38,Sentence: 5418,existing,VBG,O
39,Sentence: 5418,datasets,NNS,O
40,Sentence: 5418,:,:,O
0,Sentence: 3980,is,VBZ,O
1,Sentence: 3980,is,VBZ,O
2,Sentence: 3980,changing,VBG,O
3,Sentence: 3980,since,IN,O
4,Sentence: 3980,the,DT,O
5,Sentence: 3980,release,NN,O
6,Sentence: 3980,of,IN,O
7,Sentence: 3980,large,JJ,O
8,Sentence: 3980,de,FW,O
9,Sentence: 3980,-,:,O
10,Sentence: 3980,identi,NN,O
11,Sentence: 3980,ed,JJ,O
12,Sentence: 3980,datasets,NNS,O
13,Sentence: 3980,like,IN,O
14,Sentence: 3980,MIMIC,NNP,B
15,Sentence: 3980,1,CD,I
16,Sentence: 3980,and,CC,O
17,Sentence: 3980,i2b2,JJ,B
18,Sentence: 3980,2,CD,I
19,Sentence: 3980,.,.,O
0,Sentence: 1394,The,DT,O
1,Sentence: 1394,proposed,VBN,O
2,Sentence: 1394,method,NN,O
3,Sentence: 1394,has,VBZ,O
4,Sentence: 1394,been,VBN,O
5,Sentence: 1394,validated,VBN,O
6,Sentence: 1394,on,IN,O
7,Sentence: 1394,both,DT,O
8,Sentence: 1394,simulated,VBN,O
9,Sentence: 1394,and,CC,O
10,Sentence: 1394,real,JJ,O
11,Sentence: 1394,-,:,O
12,Sentence: 1394,world,NN,O
13,Sentence: 1394,datasets,NNS,O
14,Sentence: 1394,",",",",O
15,Sentence: 1394,where,WRB,O
16,Sentence: 1394,it,PRP,O
17,Sentence: 1394,shows,VBZ,O
18,Sentence: 1394,higher,JJR,O
19,Sentence: 1394,preference,NN,O
20,Sentence: 1394,aggregation,NN,O
21,Sentence: 1394,ability,NN,O
22,Sentence: 1394,than,IN,O
23,Sentence: 1394,the,DT,O
24,Sentence: 1394,state,NN,O
25,Sentence: 1394,-,:,O
26,Sentence: 1394,of,IN,O
27,Sentence: 1394,-,:,O
28,Sentence: 1394,the,DT,O
29,Sentence: 1394,-,:,O
30,Sentence: 1394,art,NN,O
31,Sentence: 1394,methods,NNS,O
32,Sentence: 1394,.,.,O
0,Sentence: 1673,The,DT,O
1,Sentence: 1673,underlying,JJ,O
2,Sentence: 1673,dataset,NN,O
3,Sentence: 1673,used,VBN,O
4,Sentence: 1673,in,IN,O
5,Sentence: 1673,the,DT,O
6,Sentence: 1673,testset,NN,O
7,Sentence: 1673,is,VBZ,O
8,Sentence: 1673,the,DT,O
9,Sentence: 1673,Billion,NNP,B
10,Sentence: 1673,Triple,NNP,I
11,Sentence: 1673,Challenge,NNP,I
12,Sentence: 1673,2009,CD,I
13,Sentence: 1673,dataset,NN,I
14,Sentence: 1673,which,WDT,O
15,Sentence: 1673,consists,VBZ,O
16,Sentence: 1673,of,IN,O
17,Sentence: 1673,1.3,CD,O
18,Sentence: 1673,billions,NNS,O
19,Sentence: 1673,RDF,NNP,O
20,Sentence: 1673,triples,NNS,O
21,Sentence: 1673,crawled,VBD,O
22,Sentence: 1673,from,IN,O
23,Sentence: 1673,different,JJ,O
24,Sentence: 1673,domains,NNS,O
25,Sentence: 1673,of,IN,O
26,Sentence: 1673,the,DT,O
27,Sentence: 1673,LOD,NNP,O
28,Sentence: 1673,cloud,NN,O
29,Sentence: 1673,.,.,O
0,Sentence: 1815,On,IN,O
