,Sentence #,Word,POS,Tag
10955,Sentence: 4287,6.1,CD,O
10956,Sentence: 4287,Presentation,NN,O
10957,Sentence: 4287,of,IN,O
10958,Sentence: 4287,the,DT,O
10959,Sentence: 4287,data,NNS,O
10960,Sentence: 4287,sets,NNS,O
10961,Sentence: 4287,6.1.1,CD,B
10962,Sentence: 4287,Synthetic,NNP,I
10963,Sentence: 4287,data,NNS,I
10964,Sentence: 4287,sets,NNS,I
10965,Sentence: 4287,To,TO,O
10966,Sentence: 4287,study,VB,O
10967,Sentence: 4287,the,DT,O
10968,Sentence: 4287,behavior,NN,O
10969,Sentence: 4287,of,IN,O
10970,Sentence: 4287,Data,NNP,O
10971,Sentence: 4287,-,:,O
10972,Sentence: 4287,Peeler,NN,O
10973,Sentence: 4287,and,CC,O
10974,Sentence: 4287,to,TO,O
10975,Sentence: 4287,compare,VB,O
10976,Sentence: 4287,it,PRP,O
10977,Sentence: 4287,to,TO,O
10978,Sentence: 4287,competitors,NNS,O
10979,Sentence: 4287,in,IN,O
10980,Sentence: 4287,different,JJ,O
10981,Sentence: 4287,situations,NNS,O
10982,Sentence: 4287,",",",",O
10983,Sentence: 4287,we,PRP,O
10984,Sentence: 4287,have,VBP,O
10985,Sentence: 4287,used,VBN,O
10986,Sentence: 4287,the,DT,O
10987,Sentence: 4287,IBM,NNP,O
10988,Sentence: 4287,Quest,NNP,O
10989,Sentence: 4287,data,NN,O
10990,Sentence: 4287,generator,NN,O
10991,Sentence: 4287,.,.,O
5403,Sentence: 4050,We,PRP,O
5404,Sentence: 4050,randomly,VBP,O
5405,Sentence: 4050,split,VBD,O
5406,Sentence: 4050,the,DT,O
5407,Sentence: 4050,AnkleEdema,NNP,B
5408,Sentence: 4050,dataset,NN,I
5409,Sentence: 4050,into,IN,O
5410,Sentence: 4050,training,NN,O
5411,Sentence: 4050,and,CC,O
5412,Sentence: 4050,testing,VBG,O
5413,Sentence: 4050,sets,NNS,O
5414,Sentence: 4050,(,(,O
5415,Sentence: 4050,we,PRP,O
5416,Sentence: 4050,observe,VBP,O
5417,Sentence: 4050,similar,JJ,O
5418,Sentence: 4050,patterns,NNS,O
5419,Sentence: 4050,in,IN,O
5420,Sentence: 4050,other,JJ,O
5421,Sentence: 4050,datasets,NNS,O
5422,Sentence: 4050,),),O
5423,Sentence: 4050,.,.,O
10511,Sentence: 4866,"18,000",CD,O
10512,Sentence: 4866,documents,NNS,O
10513,Sentence: 4866,from,IN,O
10514,Sentence: 4866,the,DT,O
10515,Sentence: 4866,20NG,CD,O
10516,Sentence: 4866,dataset,NN,O
10517,Sentence: 4866,(,(,O
10518,Sentence: 4866,20,CD,O
10519,Sentence: 4866,categories,NNS,O
10520,Sentence: 4866,),),O
