,Sentence #,Word,POS,Tag
0,Sentence: 2628,To,TO,O
1,Sentence: 2628,evaluate,VB,O
2,Sentence: 2628,how,WRB,O
3,Sentence: 2628,our,PRP$,O
4,Sentence: 2628,proposed,VBN,O
5,Sentence: 2628,approach,NN,O
6,Sentence: 2628,compares,VBZ,O
7,Sentence: 2628,to,TO,O
8,Sentence: 2628,other,JJ,O
9,Sentence: 2628,baselines,NNS,O
10,Sentence: 2628,",",",",O
11,Sentence: 2628,we,PRP,O
12,Sentence: 2628,use,VBP,O
13,Sentence: 2628,Task,JJ,O
14,Sentence: 2628,2,CD,O
15,Sentence: 2628,of,IN,O
16,Sentence: 2628,the,DT,O
17,Sentence: 2628,Document,NNP,B
18,Sentence: 2628,Understanding,NNP,I
19,Sentence: 2628,Conference,NNP,I
20,Sentence: 2628,dataset,NN,I
21,Sentence: 2628,(,(,O
22,Sentence: 2628,DUC,NNP,O
23,Sentence: 2628,2001,CD,O
24,Sentence: 2628,),),O
25,Sentence: 2628,which,WDT,O
26,Sentence: 2628,is,VBZ,O
27,Sentence: 2628,designated,VBN,O
28,Sentence: 2628,for,IN,O
29,Sentence: 2628,multidocument,JJ,O
30,Sentence: 2628,summarization,NN,O
31,Sentence: 2628,.,.,O
0,Sentence: 5286,Specifically,RB,O
1,Sentence: 5286,",",",",O
2,Sentence: 5286,we,PRP,O
3,Sentence: 5286,use,VBP,O
4,Sentence: 5286,the,DT,O
5,Sentence: 5286,64115,CD,O
6,Sentence: 5286,images,NNS,O
7,Sentence: 5286,in,IN,O
8,Sentence: 5286,the,DT,O
9,Sentence: 5286,2017,CD,B
10,Sentence: 5286,COCO,NNP,I
11,Sentence: 5286,training,NN,I
12,Sentence: 5286,set,NN,I
13,Sentence: 5286,that,WDT,O
14,Sentence: 5286,have,VBP,O
15,Sentence: 5286,a,DT,O
16,Sentence: 5286,person,NN,O
17,Sentence: 5286,annotation,NN,O
18,Sentence: 5286,for,IN,O
19,Sentence: 5286,training,NN,O
20,Sentence: 5286,.,.,O
0,Sentence: 525,Our,PRP$,O
1,Sentence: 525,LSB,NNP,O
2,Sentence: 525,-,:,O
3,Sentence: 525,CMM,NNP,O
4,Sentence: 525,model,NN,O
5,Sentence: 525,out,IN,O
6,Sentence: 525,-,:,O
7,Sentence: 525,performs,NNS,O
8,Sentence: 525,the,DT,O
9,Sentence: 525,other,JJ,O
10,Sentence: 525,two,CD,O
11,Sentence: 525,methods,NNS,O
12,Sentence: 525,on,IN,O
13,Sentence: 525,the,DT,O
14,Sentence: 525,BirdSong,NNP,B
15,Sentence: 525,database,NN,I
16,Sentence: 525,",",",",O
